id	x1	x2	x3	x4	x5	x6	x7
77	3.8	0.8	8.3	6.1	2.6	5.3	2.2
78	3.3	2.6	9.7	3.3	1.5	5.2	2.9
79	1	1.9	7.1	4.5	3.1	9.9	1.5
80	4.5	1.6	8.7	4.6	2.1	6.8	3.1
81	5.5	1.8	8.7	3.8	2.1	4.9	3.6
82	3.4	4.6	5.5	8.2	4.4	6.3	4
83	1.6	2.8	6.1	6.4	3.8	8.2	2.3
84	2.3	3.7	7.6	5	2.5	7.4	3
85	2.6	3	8.5	6	2.8	6.8	2.8
86	2.5	3.1	7	4.2	2.2	9	2.8
87	2.4	2.9	8.4	5.9	2.7	6.7	2.7
88	2.1	3.5	7.4	4.8	2.3	7.2	2.8
89	2.9	1.2	7.3	6.1	2.5	8	2
90	4.3	2.5	9.3	6.3	4	7.4	3.4
91	3	2.8	7.8	7.1	3.8	7.9	3
92	4.8	1.7	7.6	4.2	1.4	5.8	3.3
93	3.1	4.2	5.1	7.8	4	5.9	3.6
94	1.9	2.7	5	4.9	2.5	8.2	2.2
95	4	0.5	6.7	4.5	2.1	5	2.2
96	0.6	1.6	6.4	5	2.1	8.4	0.7
97	6.1	0.5	9.2	4.8	2.8	7.1	3.3
98	2	2.8	5.2	5	2.7	8.4	2.4
99	3.1	2.2	6.7	6.8	2.9	8.4	2.6
100	2.5	1.8	9	5	3	6	2.2
