"","x1","x2","x3","x4","x5","x6","RC1","RC2"
"55",3.8,0.8,8.7,2.9,2.1,5.6,-0.846620486861427,-1.50551952398625
"56",2.9,2.6,7.7,7,3.6,7.7,0.3179129835749,1.34250447843569
"57",4.9,4.4,7.4,6.9,4,9.6,0.647501115259334,1.98684580532691
"58",5.4,2.5,9.6,5.5,3,7.7,-0.777551635275044,0.648497037813087
"59",4.3,1.8,7.6,5.4,2.5,4.4,-0.777601423109478,-0.0743114119199007
"60",2.3,4.5,8,4.7,2.2,8.7,1.20255021200339,-0.470580896326408
"61",3.1,1.9,9.9,4.5,3.1,3.8,-1.15128971899654,-0.150921988350383
"62",5.1,1.9,9.2,5.8,2.3,4.5,-1.33879599133447,0.134701439932048
"63",4.1,1.1,9.3,5.5,2.7,7.4,-0.733349668262795,0.165464170195165
"64",3,3.8,5.5,4.9,2.6,6,0.897958982534966,-0.256104031077337
"65",1.1,2,7.2,4.7,3.2,10,1.30728353048882,-0.150724485807521
"66",3.7,1.4,9,4.5,2.3,6.8,-0.552951110305788,-0.589106027372044
"67",4.2,2.5,9.2,6.2,3.9,7.3,-0.513197659724522,1.37626983245805
"68",1.6,4.5,6.4,5.3,2.5,7.1,1.43632253526116,-0.195452624819544
"69",5.3,1.7,8.5,3.7,1.9,4.8,-1.14001232542168,-1.06113259406532
"70",2.3,3.7,8.3,5.2,2.3,9.1,0.998147546774473,-0.226314124131644
"71",3.6,5.4,5.9,6.2,2.9,8.4,1.45993376602684,0.79446529172274
"72",5.6,2.2,8.2,3.1,1.6,5.3,-0.892639100928322,-1.44271375848157
"73",3.6,2.2,9.9,4.8,1.9,4.9,-0.914004876893111,-0.688901811496039
"74",5.2,1.3,9.1,4.5,2.7,7.3,-0.930562207380599,-0.137042510652424
"75",3,2,6.6,6.6,2.7,8.2,0.590180850150653,0.516863304135044
"76",4.2,2.4,9.4,4.9,2.7,8.5,-0.239822963787935,0.0506332347595481
"77",3.8,0.8,8.3,6.1,2.6,5.3,-0.900271157589176,0.210252452163188
"78",3.3,2.6,9.7,3.3,1.5,5.2,-0.572093801639571,-1.61510045550077
"79",1,1.9,7.1,4.5,3.1,9.9,1.32536102832706,-0.330683364026336
"80",4.5,1.6,8.7,4.6,2.1,6.8,-0.631270834793891,-0.574254239949034
"81",5.5,1.8,8.7,3.8,2.1,4.9,-1.21485974685348,-0.844263192625608
"82",3.4,4.6,5.5,8.2,4.4,6.3,0.858532107294303,2.49717187191803
"83",1.6,2.8,6.1,6.4,3.8,8.2,1.2086657827019,1.02580430624168
"84",2.3,3.7,7.6,5,2.5,7.4,0.822509193579278,-0.256198897484045
"85",2.6,3,8.5,6,2.8,6.8,0.189882411002862,0.376485096755858
"86",2.5,3.1,7,4.2,2.2,9,1.12865906976855,-0.804929461360123
"87",2.4,2.9,8.4,5.9,2.7,6.7,0.232831914706109,0.228581904758501
"88",2.1,3.5,7.4,4.8,2.3,7.2,0.855016038130645,-0.527921403653405
"89",2.9,1.2,7.3,6.1,2.5,8,0.232202304697127,0.108991244960543
"90",4.3,2.5,9.3,6.3,4,7.4,-0.553637162673182,1.50419266784823
"91",3,2.8,7.8,7.1,3.8,7.9,0.338831301705569,1.5545616550414
"92",4.8,1.7,7.6,4.2,1.4,5.8,-0.556756966986061,-1.23161765322702
"93",3.1,4.2,5.1,7.8,4,5.9,0.896849714969475,1.96576879849199
"94",1.9,2.7,5,4.9,2.5,8.2,1.4966155102721,-0.496981863443704
"95",4,0.5,6.7,4.5,2.1,5,-0.623527417518511,-0.887106578841191
"96",0.6,1.6,6.4,5,2.1,8.4,1.29505231786505,-0.903518973478091
"97",6.1,0.5,9.2,4.8,2.8,7.1,-1.44164287356878,0.103452559048398
"98",2,2.8,5.2,5,2.7,8.4,1.46844274203788,-0.289337339015657
"99",3.1,2.2,6.7,6.8,2.9,8.4,0.609275092718756,0.773018105874883
"100",2.5,1.8,9,5,3,6,-0.353753146712655,-0.0458208856050545
