sex	age	address	studytime	activities	internet	romantic	freetime	absences	rendimiento
M	16	R	1	yes	yes	yes	3	8	1
M	17	U	2	yes	yes	yes	2	4	1
M	16	U	2	yes	yes	no	4	4	1
M	16	U	2	yes	yes	yes	2	0	1
F	17	U	2	yes	no	no	4	0	1
F	17	U	2	yes	yes	yes	3	32	1
F	16	U	2	no	yes	no	2	8	1
M	17	U	2	yes	yes	yes	3	6	1
M	16	U	1	yes	yes	yes	3	0	1
M	16	U	2	yes	yes	yes	2	0	1
F	17	U	2	no	yes	yes	3	10	1
M	17	R	2	no	no	no	1	6	0
F	16	U	2	no	yes	no	3	6	1
F	17	U	2	yes	yes	no	3	0	1
M	17	U	2	yes	yes	no	4	16	1
M	16	R	1	yes	yes	no	3	0	0
M	16	U	1	no	yes	no	3	0	1
F	17	U	2	yes	yes	yes	3	8	1
M	17	U	1	no	yes	no	2	4	1
M	16	R	1	yes	yes	no	3	16	1
F	17	U	1	no	yes	no	2	30	1
F	16	U	2	no	yes	no	5	0	1
F	16	U	2	yes	yes	no	3	2	1
F	16	U	2	yes	no	no	4	4	1
F	17	U	2	no	no	no	4	0	1
F	17	R	1	no	yes	no	3	21	1
F	16	R	4	yes	yes	no	3	6	1
F	17	U	3	no	yes	yes	4	14	0
F	16	U	2	no	yes	no	3	2	1
F	16	U	2	yes	yes	yes	3	4	1
F	16	U	1	no	no	no	3	2	1
F	17	R	3	yes	yes	yes	4	0	1
F	19	U	4	yes	yes	no	3	4	1
M	17	U	2	no	yes	yes	3	15	1
F	16	U	2	no	yes	no	3	0	1
M	18	U	2	yes	yes	no	4	10	1
F	17	R	1	no	no	no	2	6	1
F	17	U	2	no	yes	no	4	2	1
F	17	U	2	no	yes	yes	4	16	0
M	18	U	2	no	yes	no	2	10	0
F	17	U	1	no	no	no	3	4	1
F	17	U	3	yes	yes	no	3	0	1
F	17	R	2	yes	yes	no	2	0	1
F	17	U	3	yes	no	yes	3	12	1
F	16	U	2	no	yes	no	3	0	1
M	18	U	2	no	yes	no	3	9	0
F	16	U	3	yes	yes	no	3	4	1
F	18	R	2	yes	yes	yes	3	4	0
F	17	U	2	yes	yes	no	3	2	1
M	17	U	2	no	yes	no	3	0	1
M	18	U	2	yes	yes	yes	3	2	1
F	17	U	3	yes	yes	yes	2	0	1
F	17	U	2	yes	yes	yes	2	0	1
M	17	R	2	yes	yes	no	5	0	1
M	17	U	2	yes	yes	yes	5	0	1
M	16	U	2	yes	yes	no	2	0	1
M	16	U	2	no	yes	no	4	2	0
M	16	U	3	yes	yes	yes	3	0	1
M	17	U	2	yes	yes	yes	4	0	1
F	16	U	1	no	yes	yes	5	4	0
F	16	U	2	yes	yes	yes	3	0	1
F	18	U	2	no	yes	no	3	18	0
F	18	U	2	no	yes	yes	3	16	0
F	18	U	1	no	yes	no	1	14	0
M	18	U	1	yes	yes	yes	4	26	0
M	17	U	1	yes	yes	no	2	6	0
F	17	U	2	yes	no	no	4	4	1
F	17	U	3	yes	yes	yes	3	10	0
F	16	U	1	no	yes	no	3	4	1
F	17	R	2	yes	no	no	1	2	1
F	17	R	1	no	yes	no	5	14	0
M	18	U	2	no	yes	no	5	16	0
F	17	U	1	no	yes	no	1	8	0
F	17	R	3	yes	yes	no	3	4	1
F	17	U	2	yes	no	no	3	4	1
M	17	U	2	yes	yes	yes	5	8	1
M	17	R	2	no	yes	no	3	0	1
M	16	U	1	yes	yes	no	4	7	1
M	16	U	1	yes	yes	no	3	4	1
F	17	U	2	no	yes	yes	3	2	1
M	17	R	3	no	yes	yes	3	2	1
F	17	U	3	no	yes	yes	2	10	1
F	17	U	2	no	no	yes	3	10	0
F	18	U	3	no	yes	yes	4	10	1
M	16	U	1	no	yes	no	3	7	1
F	17	U	2	no	no	no	3	4	1
M	17	U	1	no	yes	no	2	2	1
M	22	U	1	no	yes	yes	4	12	0
M	18	R	2	no	yes	yes	3	8	0
M	16	U	1	no	yes	no	3	0	1
M	18	U	1	no	yes	no	4	8	0
M	16	U	2	no	yes	no	3	4	0
M	18	U	1	no	yes	no	2	4	0
M	16	R	1	yes	no	no	3	2	1
M	17	R	1	no	yes	no	4	0	1
M	17	U	1	yes	yes	no	4	0	0
F	18	U	2	no	yes	yes	3	2	1
F	17	U	4	yes	yes	no	2	2	1
F	19	U	2	no	yes	no	3	0	1
M	18	U	2	yes	yes	no	4	4	1
F	17	R	3	yes	yes	no	3	2	1
F	18	U	3	no	no	no	4	4	1
F	18	R	2	no	no	no	2	4	1
M	19	U	2	no	yes	no	3	4	1
M	18	U	2	yes	yes	no	2	2	1
M	17	R	1	no	no	no	2	0	0
F	17	U	4	yes	yes	yes	4	2	1
F	20	R	2	yes	yes	yes	2	8	1
F	18	U	2	no	yes	yes	1	2	1
M	18	U	2	no	yes	no	3	2	1
M	18	R	3	yes	no	no	3	2	1
F	17	U	3	yes	no	no	2	2	1
F	18	U	3	yes	yes	yes	3	0	1
M	17	U	1	no	yes	no	4	8	0
M	18	R	2	yes	yes	no	2	6	1
M	17	U	2	yes	yes	yes	4	0	1
F	18	R	2	yes	yes	no	3	8	1
M	18	U	2	yes	yes	yes	4	4	1
F	18	R	2	no	yes	yes	3	12	0
F	19	U	2	yes	yes	no	3	16	1
F	18	U	4	yes	yes	yes	5	10	1
F	18	U	2	no	no	no	4	2	1
M	17	R	2	yes	no	yes	5	2	1
F	18	U	2	no	yes	yes	2	8	1
F	17	U	2	no	yes	yes	3	6	1
F	17	U	2	no	yes	yes	4	6	1
F	18	R	2	no	yes	yes	1	15	0
M	18	U	1	yes	yes	no	2	6	1
F	18	U	2	yes	yes	yes	4	2	1
F	17	U	3	no	yes	yes	2	8	1
F	19	R	2	no	yes	no	3	0	0
M	18	U	1	yes	yes	no	2	0	0
M	18	U	1	no	yes	no	4	10	1
M	17	U	1	yes	yes	yes	5	22	0
M	17	U	1	no	yes	no	4	18	1
F	18	R	4	yes	no	no	2	2	1
F	18	U	2	yes	yes	no	4	0	1
F	17	U	2	no	yes	no	4	12	1
F	18	U	2	yes	yes	yes	3	10	1
M	17	U	2	no	yes	no	3	0	1
F	18	U	3	no	yes	no	3	0	1
F	17	U	3	no	yes	no	3	0	1
M	18	U	3	yes	yes	no	2	0	1
M	18	U	2	yes	yes	no	4	0	1
M	18	U	2	yes	yes	yes	3	2	1
F	17	U	3	no	yes	no	2	0	1
F	17	R	4	no	no	no	1	0	1
M	18	R	3	yes	yes	no	4	0	1
M	17	U	1	no	yes	no	4	0	1
F	19	U	2	yes	yes	no	3	2	1
F	18	U	2	no	yes	yes	4	0	1
F	18	U	4	no	yes	no	3	0	1
M	18	U	1	no	yes	yes	4	0	1
F	18	U	2	no	yes	yes	2	0	1
M	17	U	1	no	yes	no	1	0	1
F	17	R	3	yes	yes	no	3	0	0
F	17	U	3	no	yes	no	3	0	1
F	17	U	4	yes	yes	no	2	0	1
M	19	R	3	yes	yes	yes	3	0	1
M	20	U	1	yes	no	no	5	0	1
M	19	R	2	yes	no	yes	5	0	1
F	18	U	2	no	no	yes	4	2	1
F	18	U	2	yes	yes	no	3	2	1
F	17	U	2	yes	yes	yes	2	2	1
F	17	R	1	yes	yes	no	4	2	1
F	18	U	3	yes	yes	yes	3	2	1
F	18	U	1	no	yes	no	2	8	1
F	17	R	3	yes	yes	no	3	2	1
F	18	U	2	no	yes	no	1	8	1
M	19	U	2	yes	yes	yes	4	9	0
F	18	U	2	no	yes	no	4	0	1
F	18	U	1	yes	yes	yes	4	4	1
F	17	U	1	yes	yes	no	3	2	1
F	17	U	2	no	yes	yes	2	14	1
F	17	U	2	no	yes	no	3	0	1
F	17	U	2	yes	yes	no	2	2	1
M	18	U	1	no	yes	no	2	2	1
F	19	U	3	yes	no	yes	5	12	1
F	19	U	2	no	yes	yes	3	2	0
F	18	U	1	yes	yes	yes	3	2	0
F	17	U	2	no	no	yes	2	4	1
F	17	R	3	yes	yes	no	3	0	0
F	17	U	3	no	yes	no	4	0	1
F	17	U	3	no	yes	no	3	0	1
F	18	U	3	yes	yes	no	5	0	1
M	18	U	3	yes	yes	no	3	0	1
M	17	U	1	yes	yes	no	3	0	1
M	17	R	1	no	yes	no	4	2	0
F	17	U	3	yes	yes	no	4	0	1
F	17	U	3	no	yes	yes	3	4	1
F	17	U	1	yes	yes	no	2	2	1
M	18	U	4	yes	yes	no	5	0	1
M	19	R	1	no	no	yes	3	0	0
F	18	U	2	yes	no	yes	2	2	0
F	17	R	3	no	yes	yes	4	0	1
M	18	U	1	no	yes	no	4	6	1
F	18	U	2	yes	yes	no	3	8	1
F	18	U	2	yes	yes	yes	3	0	1
F	18	R	4	yes	no	no	4	6	1
F	17	U	3	no	yes	no	4	8	1
F	17	U	2	no	yes	yes	3	0	1
F	18	U	4	no	yes	no	3	4	1
F	17	R	2	no	yes	no	3	0	1
M	18	U	2	yes	yes	no	3	0	1
M	18	U	2	yes	yes	yes	3	6	1
F	17	U	2	no	yes	yes	3	18	1
F	18	U	3	no	yes	no	3	0	1
F	18	U	3	no	yes	yes	4	4	1
M	18	R	3	no	yes	yes	3	4	1
M	18	U	3	no	yes	yes	4	0	1
F	17	U	3	yes	yes	yes	4	0	1
F	17	U	2	yes	yes	yes	3	10	1
F	17	U	2	yes	yes	no	3	4	1
F	19	U	1	no	yes	no	2	16	1
F	17	U	1	no	yes	yes	1	6	1
F	21	U	3	yes	yes	no	3	0	1
M	18	U	2	yes	yes	no	4	11	1
M	18	U	2	yes	yes	yes	3	9	1
F	17	U	2	yes	yes	no	3	0	1
M	17	U	3	no	yes	no	4	2	1
F	18	U	2	yes	yes	no	2	0	1
M	21	R	2	yes	yes	yes	3	21	0
F	20	R	3	no	yes	yes	2	8	1
F	19	U	1	no	yes	yes	2	5	1
M	17	U	2	no	yes	no	4	10	1
F	18	U	3	no	yes	yes	3	5	1
M	18	R	1	no	yes	no	1	13	1
M	19	U	1	no	yes	no	3	10	1
F	18	U	2	no	yes	no	1	10	1
F	20	U	1	no	yes	yes	3	5	0
F	18	U	2	yes	yes	yes	1	4	1
F	16	U	1	no	yes	yes	3	11	1
F	16	R	2	yes	yes	no	4	0	1
F	15	R	1	no	no	yes	1	6	0
F	15	R	1	no	yes	no	4	4	1
F	16	R	2	no	no	no	5	0	1
F	15	R	1	no	no	no	3	0	0
M	16	R	2	no	no	no	3	5	1
M	16	U	3	no	yes	no	4	0	1
F	17	R	2	no	no	yes	5	0	0
F	17	R	1	no	yes	no	4	0	0
F	15	R	1	no	yes	yes	5	0	1
F	16	U	4	yes	no	yes	2	4	1
F	15	R	2	no	yes	no	4	0	0
F	15	R	1	no	yes	yes	4	4	0
F	16	R	1	yes	no	no	2	0	1
F	17	R	1	no	yes	no	5	2	1
F	15	R	1	no	yes	no	1	0	1
M	16	U	2	yes	no	yes	4	0	0
M	17	U	2	no	yes	no	4	4	0
M	15	R	2	yes	yes	no	3	0	1
M	15	R	2	yes	yes	no	3	7	0
M	16	R	2	no	no	no	4	4	1
M	15	R	2	yes	no	yes	4	8	0
M	15	U	2	yes	yes	no	3	0	1
M	17	R	1	yes	no	yes	5	8	0
F	16	R	3	yes	yes	yes	2	6	1
F	15	R	1	no	no	no	1	3	1
F	16	R	2	no	yes	no	5	2	1
M	16	R	2	no	no	no	3	0	1
F	16	R	2	no	yes	no	4	4	1
F	16	U	3	no	no	no	3	0	0
F	16	U	3	no	no	no	3	3	0
F	15	U	2	no	yes	no	4	0	0
F	16	U	2	no	no	yes	4	0	1
M	17	R	1	yes	yes	no	5	4	1
F	16	R	4	no	yes	no	3	0	1
F	16	R	3	no	no	no	4	2	0
F	15	R	2	yes	yes	no	3	1	1
F	16	R	1	yes	yes	yes	2	0	1
F	15	R	2	no	no	no	2	0	1
F	15	R	3	no	no	no	4	2	1
M	16	R	1	yes	no	no	4	6	1
F	18	U	2	yes	yes	yes	4	9	0
M	15	U	1	no	no	no	2	0	1
F	16	R	2	yes	yes	no	3	1	1
M	15	U	1	no	no	no	3	1	1
M	16	U	2	yes	no	yes	3	0	1
F	15	R	2	no	yes	yes	5	4	1
F	16	R	2	yes	no	no	4	2	1
F	16	R	1	yes	no	yes	3	0	1
M	16	U	1	yes	yes	no	4	4	0
M	15	R	1	yes	yes	no	2	2	1
F	15	U	3	yes	no	no	3	0	1
F	16	R	1	no	yes	yes	4	2	0
M	15	U	1	yes	yes	no	3	11	1
F	16	R	2	no	no	no	4	0	0
F	17	U	1	yes	no	no	5	4	0
F	19	U	1	no	yes	yes	4	0	0
F	17	R	1	yes	no	yes	5	2	1
F	15	R	1	no	no	yes	2	0	0
F	16	R	2	no	yes	no	4	1	1
F	16	U	1	no	no	no	3	6	0
F	17	R	2	no	yes	no	3	0	1
F	16	U	1	yes	yes	no	4	1	0
F	18	R	3	no	no	yes	3	6	0
F	19	U	3	yes	no	yes	3	6	0
M	18	R	1	yes	yes	no	4	0	0
F	18	R	1	no	yes	yes	2	4	0
F	19	U	2	no	yes	yes	1	12	0
F	16	R	2	no	no	yes	3	2	0
F	17	U	1	yes	no	no	4	5	0
F	16	R	2	yes	yes	no	4	0	0
F	16	U	1	yes	yes	yes	5	0	1
F	16	R	1	yes	yes	yes	4	2	1
M	17	U	4	yes	no	no	4	0	0
F	16	U	2	yes	yes	no	3	0	1
F	16	U	1	yes	no	yes	2	0	1
M	17	U	1	yes	yes	yes	3	12	0
M	16	U	1	yes	yes	no	2	8	1
M	17	R	4	no	no	no	3	2	0
F	16	U	4	yes	yes	no	2	0	1
F	19	U	3	no	yes	yes	4	0	1
F	17	R	1	yes	yes	yes	4	0	1
F	20	U	2	yes	yes	yes	3	8	0
F	17	U	3	no	no	yes	3	0	0
M	17	R	1	no	yes	no	4	0	0
F	16	R	2	no	no	no	3	0	1
F	17	R	2	yes	no	no	3	0	1
F	17	U	2	no	yes	yes	4	1	0
F	18	R	2	no	yes	yes	3	9	0
F	16	U	1	yes	yes	no	1	0	0
F	16	U	1	no	yes	no	1	2	0
F	18	U	2	no	no	no	3	8	0
F	16	R	2	yes	yes	yes	3	0	1
F	16	R	1	yes	yes	no	4	0	1
F	18	U	2	no	yes	no	3	8	0
M	16	R	2	yes	yes	no	2	0	0
F	16	U	2	no	yes	no	3	6	0
F	16	R	2	yes	yes	no	3	0	0
F	16	U	2	no	yes	yes	3	4	0
M	18	U	4	yes	yes	yes	5	2	0
F	16	R	2	no	no	no	2	2	0
M	17	U	3	no	yes	no	4	0	1
F	17	R	1	no	yes	yes	2	1	1
M	16	U	3	no	no	no	1	0	0
F	17	R	1	no	yes	no	1	5	0
F	16	U	1	no	no	no	1	1	1
M	17	U	1	yes	yes	no	1	8	0
M	17	U	2	no	yes	yes	1	0	0
M	16	U	2	no	yes	yes	2	2	0
F	16	U	2	no	yes	yes	2	0	1
M	16	U	1	no	yes	no	1	0	1
M	15	R	2	yes	no	no	5	11	0
M	15	U	4	yes	no	no	4	8	1
M	15	U	1	yes	yes	no	3	11	1
F	16	R	3	no	no	yes	3	2	1
F	16	U	2	yes	yes	no	2	8	0
F	17	U	1	no	no	yes	3	5	1
F	17	R	2	no	no	no	1	0	1
F	16	U	3	no	yes	yes	3	1	1
M	17	R	1	yes	yes	yes	3	2	0
M	17	R	1	yes	no	yes	1	2	1
M	17	U	2	yes	yes	yes	4	8	0
F	17	U	2	no	yes	no	2	0	1
M	16	R	1	no	yes	no	1	0	1
F	17	U	2	yes	yes	yes	5	2	1
F	17	R	2	no	yes	no	3	0	1
M	16	U	2	no	yes	yes	1	0	1
M	17	U	2	no	yes	no	1	0	1
M	19	U	2	yes	yes	no	4	2	0
M	17	U	1	no	no	yes	1	4	1
F	17	R	1	yes	yes	yes	5	3	0
F	16	R	3	no	yes	yes	3	5	1
M	16	R	1	no	no	no	4	4	1
F	17	R	2	yes	yes	yes	4	2	0
M	17	R	1	yes	no	yes	5	0	0
M	18	R	1	no	no	no	3	0	1
M	17	R	1	yes	yes	yes	5	0	0
M	18	U	2	yes	no	no	3	6	0
F	16	R	2	yes	no	yes	4	0	1
M	17	U	1	yes	no	yes	2	0	0
M	16	R	1	no	yes	no	5	2	0
M	16	R	1	yes	yes	no	5	0	0
M	18	R	1	no	yes	yes	3	2	0
M	18	R	1	no	yes	no	3	0	0
M	19	U	1	yes	no	no	2	4	0
M	18	U	2	yes	yes	no	4	9	0
M	16	R	1	yes	yes	yes	4	6	0
M	19	U	1	yes	yes	yes	4	4	0
F	16	U	2	yes	no	yes	5	8	0
F	17	U	1	yes	no	no	3	9	0
M	20	R	1	no	yes	yes	4	12	0
F	18	R	1	no	yes	no	4	8	0
M	18	R	1	no	yes	no	5	8	1
M	19	R	2	no	yes	no	4	8	1
M	17	U	2	no	yes	no	5	4	0
M	18	U	1	no	yes	yes	3	0	0
M	19	R	1	no	yes	no	4	4	0
F	18	U	2	no	no	no	3	2	0
F	19	U	1	no	no	no	4	0	0
F	18	R	1	no	yes	yes	5	0	0
F	17	R	1	no	yes	no	4	0	1
F	17	R	3	no	no	no	2	5	0
F	17	U	2	yes	yes	no	5	0	0
F	18	R	2	yes	yes	no	3	3	0
F	17	U	1	no	no	yes	2	0	0
F	17	U	1	no	yes	no	5	0	0
F	18	U	2	yes	no	yes	4	3	0
F	18	U	2	yes	yes	no	3	2	1
F	17	U	1	no	yes	no	4	0	1
F	18	U	2	no	yes	no	4	0	1
F	18	U	2	yes	yes	no	3	0	1
M	18	U	1	yes	yes	no	4	3	1
F	17	U	2	no	yes	no	3	0	1
F	18	R	2	yes	no	yes	3	0	0
M	18	U	1	no	no	no	1	8	1
M	18	R	1	yes	yes	yes	5	5	1
M	17	R	1	no	no	no	2	4	1
F	18	U	2	no	yes	yes	3	4	0
F	18	U	3	no	yes	yes	4	0	1
F	18	R	2	yes	yes	yes	3	0	0
F	18	U	2	no	no	no	4	2	0
F	19	U	1	no	no	no	5	0	0
F	17	U	4	no	yes	yes	2	0	1
F	17	R	2	yes	yes	yes	3	5	1
F	18	U	2	no	no	yes	2	2	1
F	18	U	2	no	no	no	1	0	1
F	19	R	2	yes	no	yes	5	0	0
F	18	R	3	no	yes	yes	2	5	1
M	17	R	2	yes	yes	yes	5	4	1
F	18	U	2	no	no	yes	3	0	0
F	17	R	2	yes	yes	no	3	2	1
F	17	U	2	no	no	yes	2	0	1
M	18	U	1	no	yes	yes	3	2	1
F	18	U	3	no	yes	no	3	0	1
F	18	R	2	no	no	yes	3	0	1
F	18	U	2	no	yes	yes	3	6	1
F	17	U	2	yes	yes	yes	3	4	1
F	17	R	2	no	no	no	2	0	1
M	18	R	2	no	no	no	3	0	0
M	18	U	3	no	yes	yes	2	0	1
F	17	R	1	no	yes	yes	2	0	0
F	18	U	1	no	yes	yes	2	0	0
F	18	R	2	no	yes	yes	2	0	0
M	18	R	1	yes	yes	yes	3	3	0
F	17	U	3	yes	no	yes	4	8	1
F	17	R	1	yes	yes	no	5	4	0
F	18	R	3	no	yes	no	4	0	1
F	18	R	3	no	yes	no	3	4	1
F	19	R	2	no	yes	yes	3	4	0
F	18	R	2	yes	yes	no	4	1	1
F	18	U	2	no	yes	yes	1	1	1
F	17	R	2	yes	yes	no	5	10	0
M	18	U	2	yes	yes	no	2	4	1
M	18	R	1	yes	yes	yes	4	0	0
M	17	U	2	yes	yes	no	4	4	1
M	19	R	1	no	no	no	3	0	0
M	18	R	1	no	no	no	4	0	0
F	18	R	3	no	no	no	3	0	1
F	17	U	2	no	yes	no	5	0	1
F	18	R	1	yes	yes	yes	4	4	0
